Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2018,12,Male,17,Right-Handed,170,28.6,10000,1,Car,20,0.35,77,None,999.6,942.8,677.2,877.9,876.6,912.8,28.3,Right foot,76.2,74.4,Ring finger,March,Winter,No,No,Seafood,Water,Other,6,10,3,Yes - broadband connection,Internet chat or instant messaging,200,350,10,0.5,2,0,0,7,3,15,21,0.2,2,1,,Graduate degree,Other,Invisibility,Happy,Friend,Health
USA,SC,2018,12,Female,18,Right-Handed,160,22.86,,2,Car,15,0.395,35,Football (American),476,872,877,888,396,401,22.89,Left foot,,,,February,Fall,Yes,No,Other,Water,Other,5,8,4,Yes - broadband connection,Text messaging,20,10,1,0,2,7,0,0,3,1,0,1,9,3,Some,Graduate degree,Other,Invisibility,Happy,Musician or singer,Health
USA,ID,2018,12,Male,24,Right-Handed,185,20,160,3,Walk,15,1,15,Soccer,300,400,700,700,500,500,21,Left foot,40,36,Ring finger,July,Spring,No,No,Seafood,Water,Languages,7,7,7,Yes - other,In person,15,10,4,6,18,2,1,0,1,1,5,7,0,4,Some,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Other,Religious
USA,OK,2018,12,Female,16,Right-Handed,158,23,159,1,Car,15,0.459,33,None,481,578,636,824,198,278,23,Same length,8,8,Same length,November,Fall,No,No,Poultry,Soft drink (non-caffeinated),Music,8,7,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,25,2,2,4,15,1,0,4,2,2,7,0,3,Some,Undergraduate degree,Other,Telepathy,Healthy,Doctor or nurse,Health
USA,NC,2018,12,Male,17,Right-Handed,178,25,178,1,Car,5,0.372,35,Soccer,840,524,690,433,283,695,27,Left foot,76,79,Ring finger,June,Summer,No,No,Meat,Sports drink,Mathematics and statistics,7,10,4,Yes - other,Cell phone,50,180,15,2,5,10,20,10,5,5,5,10,15,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Musician or singer,Health
USA,CT,2018,12,Female,18,Left-Handed,166,,170,2,Bus,15,0.516,57,Bowling,1000,1000,1000,1000,0,1000,,,,,,May,Winter,No,No,Pizza/Pasta,Other,Music,6,8,3,Yes - other,Text messaging,800,806,15,40,35,0,0,0,40,40,40,0,40,40,A lot,Graduate degree,Rap/Hip hop,Invisibility,Famous,Friend,"Wildlife, animals"
USA,PA,2018,12,Female,17,Right-Handed,180,25,,1,Car,15,0.588,46,Running/Jogging,872,401,583,235,583,690,24,Right foot,74,72,Index finger,February,Spring,Yes,Yes,Rice/Noodle dishes,Water,Social studies,7,8,2,Yes - broadband connection,Text messaging,17,20,4,0,8,3,4,0,7,1,16,5,16,2,Some,Graduate degree,Other,Freeze time,Healthy,Relative,"Wildlife, animals"
USA,TX,2018,12,Female,17,Right-Handed,160,24.6,160,2,Car,15,0.723,45,Other,700,650,800,900,600,850,24.6,Same length,28,29,Ring finger,March,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,4,8,6,Yes - broadband connection,In person,160,180,10,7,10,4,0,0,10,30,50,0,35,7,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Musician or singer,International aid
USA,PA,2018,12,Female,17,Right-Handed,170,25,174,1,Car,10,0.549,64,Dancing,500,700,750,700,600,500,26,Left foot,7,7,Same length,June,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,5,Yes - other,Text messaging,15,18,10,2,12,3,5,0,20,15,5,6,30,4,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,OH,2018,12,Female,17,Left-Handed,170,26,170,1,Car,20,0.802,44,Other,1000,1000,1000,1000,0,500,26,Same length,100,80,Index finger,August,Fall,No,No,Pizza/Pasta,Juice,Music,8,9,3,Yes - other,Text messaging,200,200,5,1,3,12,2,0,20,7,20,32,0,0,Some,High school,Pop,Telepathy,Rich,Musician or singer,"Wildlife, animals"
USA,PA,2018,12,Male,17,Right-Handed,198,25.5,182,2,Car,6,0.444,33,Athletics,1000,747,326,428,610,861,25,Right foot,900,950,Ring finger,September,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Mathematics and statistics,6.5,7.5,3,Yes - other,Text messaging,40,37,9,1,8,4,11,1,7,9,13,12,9,2,Some,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Other
USA,SC,2018,12,Male,18,Right-Handed,168,13,167,1,Car,10,0.627,74,Basketball,610,160,176,144,102,1000,13,Same length,60,70,Ring finger,October,Fall,No,No,Pizza/Pasta,Soft drink (caffeinated),Mathematics and statistics,5,9,5,Yes - other,In person,3,3,100,12,1,10,3,1,7,2,8,7,24,3,A lot,Some college,Rap/Hip hop,Super strength,Healthy,Friend,Health
